Well,Sample ID,Peak ID,Size (bp),% (Conc.),nmole/L,ng/ul,RFU,Avg. Size,TIC (ng/ul),TIM (nmole/L),Total Conc. (ng/ul)
D1,160322-PK-1-dil50e,1,1,,13.227,0.0101,1646,1,0.3252,0.795 nmole/L,0.3972
D1,160322-PK-1-dil50e,2,673,100.0,0.795,0.3252,3599,674,0.3252,0.795 nmole/L,0.3972
D1,160322-PK-1-dil50e,3,6000,,0.001,0.0042,864,6016,0.3252,0.795 nmole/L,0.3972
D2,160322-PK-2-dil50e,1,1,,13.227,0.0101,1812,1,0.4966,1.230 nmole/L,0.5457
D2,160322-PK-2-dil50e,2,664,100.0,1.230,0.4966,6031,664,0.4966,1.230 nmole/L,0.5457
D2,160322-PK-2-dil50e,3,6000,,0.001,0.0036,873,5991,0.4966,1.230 nmole/L,0.5457
D3,160322-PK-3-dil50e,1,1,,13.227,0.0101,1755,1,0.3505,0.859 nmole/L,0.3576
D3,160322-PK-3-dil50e,2,671,100.0,0.859,0.3505,4324,670,0.3505,0.859 nmole/L,0.3576
D3,160322-PK-3-dil50e,3,6000,,0.001,0.0036,858,6000,0.3505,0.859 nmole/L,0.3576
D4,160322-PK-4-dil50e,1,1,,13.227,0.0101,1726,1,0.2813,0.686 nmole/L,0.3025
D4,160322-PK-4-dil50e,2,674,100.0,0.686,0.2813,3650,672,0.2813,0.686 nmole/L,0.3025
D4,160322-PK-4-dil50e,3,6000,,0.001,0.0037,950,6001,0.2813,0.686 nmole/L,0.3025
D5,160322-PK-5-dil50e,1,1,,13.227,0.0101,1642,1,0.3428,0.848 nmole/L,0.3691
D5,160322-PK-5-dil50e,2,665,100.0,0.848,0.3428,4550,663,0.3428,0.848 nmole/L,0.3691
D5,160322-PK-5-dil50e,3,6000,,0.001,0.0035,775,5990,0.3428,0.848 nmole/L,0.3691
D6,160322-PK-6-dil50e,1,1,,13.227,0.0101,1770,1,0.4655,1.152 nmole/L,0.5597
D6,160322-PK-6-dil50e,2,665,100.0,1.152,0.4655,3475,667,0.4655,1.152 nmole/L,0.5597
D6,160322-PK-6-dil50e,3,6000,,0.001,0.0039,835,6029,0.4655,1.152 nmole/L,0.5597
D7,160322-HER-1,1,1,,13.227,0.0101,1732,1,4.2334,17.217 nmole/L,4.2550
D7,160322-HER-1,2,46,3.4,5.109,0.1435,763,46,4.2334,17.217 nmole/L,4.2550
D7,160322-HER-1,3,142,0.2,0.078,0.0067,44,138,4.2334,17.217 nmole/L,4.2550
D7,160322-HER-1,4,559,96.5,12.031,4.0833,1348,593,4.2334,17.217 nmole/L,4.2550
D7,160322-HER-1,5,6000,,0.001,0.0044,905,6065,4.2334,17.217 nmole/L,4.2550
D8,160322-HER-2,1,1,,13.227,0.0101,778,2,6.6933,24.168 nmole/L,6.7005
