Well,Sample ID,Peak ID,Size (bp),% (Conc.),nmole/L,ng/ul,RFU,Avg. Size,TIC (ng/ul),TIM (nmole/L),Total Conc. (ng/ul)
D1,T4,1,1,,13.555,0.0104,1701,1,4.5912,17.688 nmole/L,4.6007
D1,T4,2,49,3.8,5.842,0.1742,962,48,4.5912,17.688 nmole/L,4.6007
D1,T4,3,85,0.4,0.387,0.0200,134,83,4.5912,17.688 nmole/L,4.6007
D1,T4,4,151,0.8,0.413,0.0379,93,147,4.5912,17.688 nmole/L,4.6007
D1,T4,5,649,94.9,11.045,4.3591,1753,716,4.5912,17.688 nmole/L,4.6007
D1,T4,6,6000,,0.001,0.0051,257,6316,4.5912,17.688 nmole/L,4.6007
D2,T7,1,1,,13.555,0.0104,2015,1,9.1461,44.465 nmole/L,9.1541
D2,T7,2,41,4.8,17.341,0.4367,2797,46,9.1461,44.465 nmole/L,9.1541
D2,T7,3,83,1.3,2.424,0.1219,1410,83,9.1461,44.465 nmole/L,9.1541
D2,T7,4,148,2.0,2.028,0.1823,1866,146,9.1461,44.465 nmole/L,9.1541
D2,T7,5,610,91.9,22.672,8.4052,4773,651,9.1461,44.465 nmole/L,9.1541
D2,T7,6,6000,,0.002,0.0060,694,6045,9.1461,44.465 nmole/L,9.1541
D3,P1,1,1,,13.555,0.0104,1840,1,3.9890,20.247 nmole/L,4.0108
D3,P1,2,42,7.1,11.039,0.2829,1958,49,3.9890,20.247 nmole/L,4.0108
D3,P1,3,146,0.2,0.076,0.0068,63,146,3.9890,20.247 nmole/L,4.0108
D3,P1,4,667,92.7,9.132,3.6994,1999,693,3.9890,20.247 nmole/L,4.0108
D3,P1,5,6000,,0.001,0.0046,1067,6096,3.9890,20.247 nmole/L,4.0108
D4,Mu,1,1,,13.555,0.0104,1871,1,1.7909,13.168 nmole/L,1.7982
D4,Mu,2,43,13.2,8.973,0.2359,1739,46,1.7909,13.168 nmole/L,1.7982
D4,Mu,3,84,0.8,0.296,0.0151,165,82,1.7909,13.168 nmole/L,1.7982
D4,Mu,4,148,1.3,0.258,0.0232,233,142,1.7909,13.168 nmole/L,1.7982
D4,Mu,5,259,0.2,0.019,0.0030,31,256,1.7909,13.168 nmole/L,1.7982
D4,Mu,6,688,84.5,3.622,1.5137,795,678,1.7909,13.168 nmole/L,1.7982
D4,Mu,7,6000,,0.001,0.0045,1260,5987,1.7909,13.168 nmole/L,1.7982
D5,rien,1,1,,13.555,0.0104,1772,1,0.0000,0.000 nmole/L,0.0177
D5,rien,2,6000,,0.001,0.0040,1106,5995,0.0000,0.000 nmole/L,0.0177
D6,rien,1,1,,13.555,0.0104,1902,3,0.0000,0.000 nmole/L,0.0111
D6,rien,2,6000,,0.001,0.0027,937,5996,0.0000,0.000 nmole/L,0.0111
D7,rien,1,1,,13.555,0.0104,1773,1,0.0000,0.000 nmole/L,0.0250
D7,rien,2,6000,,0.001,0.0035,944,6016,0.0000,0.000 nmole/L,0.0250
D8,rien,1,1,,13.555,0.0104,1726,1,0.0000,0.000 nmole/L,0.0045
D8,rien,2,6000,,0.001,0.0036,958,5989,0.0000,0.000 nmole/L,0.0045
D9,rien,1,1,,13.555,0.0104,2029,1,0.0006,0.001 nmole/L,0.0369
D9,rien,2,990,100.0,0.001,0.0006,20,982,0.0006,0.001 nmole/L,0.0369
D9,rien,3,6000,,0.001,0.0040,1315,5992,0.0006,0.001 nmole/L,0.0369
D10,rien,1,1,,13.555,0.0104,1931,1,0.0000,0.000 nmole/L,0.1009
D10,rien,2,6000,,0.001,0.0036,1136,5986,0.0000,0.000 nmole/L,0.1009
D11,rien,1,1,,13.555,0.0104,1715,2,0.0000,0.000 nmole/L,0.0135
D11,rien,2,6000,,0.001,0.0039,968,6037,0.0000,0.000 nmole/L,0.0135
D12,Ladder,1,1,,13.555,0.0104,1385,1,0.9522,3.111 nmole/L,0.9960
D12,Ladder,2,100,4.5,0.708,0.0431,764,100,0.9522,3.111 nmole/L,0.9960
D12,Ladder,3,200,5.2,0.406,0.0493,969,200,0.9522,3.111 nmole/L,0.9960
D12,Ladder,4,300,5.4,0.284,0.0518,1071,300,0.9522,3.111 nmole/L,0.9960
D12,Ladder,5,400,6.4,0.250,0.0607,1201,400,0.9522,3.111 nmole/L,0.9960
D12,Ladder,6,500,16.5,0.516,0.1569,3245,501,0.9522,3.111 nmole/L,0.9960
D12,Ladder,7,600,5.8,0.152,0.0556,1141,600,0.9522,3.111 nmole/L,0.9960
D12,Ladder,8,700,5.3,0.118,0.0501,1083,699,0.9522,3.111 nmole/L,0.9960
D12,Ladder,9,800,5.4,0.107,0.0519,1104,797,0.9522,3.111 nmole/L,0.9960
D12,Ladder,10,900,5.7,0.099,0.0541,1142,897,0.9522,3.111 nmole/L,0.9960
D12,Ladder,11,1000,16.2,0.254,0.1541,3192,996,0.9522,3.111 nmole/L,0.9960
D12,Ladder,12,1200,6.1,0.080,0.0583,1194,1198,0.9522,3.111 nmole/L,0.9960
D12,Ladder,13,1500,6.1,0.063,0.0577,1178,1491,0.9522,3.111 nmole/L,0.9960
D12,Ladder,14,2000,5.7,0.045,0.0545,1072,1989,0.9522,3.111 nmole/L,0.9960
D12,Ladder,15,3000,5.7,0.030,0.0541,1118,2989,0.9522,3.111 nmole/L,0.9960
D12,Ladder,16,6000,,0.001,0.0038,822,5988,0.9522,3.111 nmole/L,0.9960
