Well,Sample ID,Peak ID,Size (bp),% (Conc.),nmole/L,ng/ul,RFU,Avg. Size,TIC (ng/ul),TIM (nmole/L),Total Conc. (ng/ul)
B1,203,1,1,,165.013,0.1263,1562,2,46.2333,65.343 nmole/L,46.2689
B1,203,2,1165,100.0,65.343,46.2333,904,900,46.2333,65.343 nmole/L,46.2689
B1,203,3,6000,,0.041,0.1493,1608,6085,46.2333,65.343 nmole/L,46.2689
B2,200,1,1,,165.013,0.1263,1460,1,24.4814,80.962 nmole/L,24.6155
B2,200,2,498,100.0,80.962,24.4814,359,706,24.4814,80.962 nmole/L,24.6155
B2,200,3,6000,,0.037,0.1359,1613,6012,24.4814,80.962 nmole/L,24.6155
B3,199,1,1,,165.013,0.1263,1365,5,47.9139,57.906 nmole/L,47.9479
B3,199,2,1362,100.0,57.906,47.9139,1825,1232,47.9139,57.906 nmole/L,47.9479
B3,199,3,6000,,0.032,0.1166,1283,6059,47.9139,57.906 nmole/L,47.9479
B4,196,1,1,,165.013,0.1263,1426,1,38.7497,47.635 nmole/L,39.2886
B4,196,2,1339,100.0,47.635,38.7497,984,1126,38.7497,47.635 nmole/L,39.2886
B4,196,3,6000,,0.047,0.1726,1380,6194,38.7497,47.635 nmole/L,39.2886
B5,194,1,1,,165.013,0.1263,1295,0,22.8600,27.784 nmole/L,23.5286
B5,194,2,1354,100.0,27.784,22.8600,520,1219,22.8600,27.784 nmole/L,23.5286
B5,194,3,6000,,0.048,0.1761,1745,6023,22.8600,27.784 nmole/L,23.5286
B6,215,1,1,,165.013,0.1263,1435,5,24.4408,33.497 nmole/L,24.4996
B6,215,2,1201,100.0,33.497,24.4408,733,962,24.4408,33.497 nmole/L,24.4996
B6,215,3,6000,,0.036,0.1314,1667,6040,24.4408,33.497 nmole/L,24.4996
B7,214,1,1,,165.013,0.1263,1667,6,21.6473,28.227 nmole/L,21.7599
B7,214,2,1262,100.0,28.227,21.6473,940,1037,21.6473,28.227 nmole/L,21.7599
B7,214,3,6000,,0.041,0.1510,1622,6321,21.6473,28.227 nmole/L,21.7599
B8,212,1,1,,165.013,0.1263,929,0,35.6201,49.222 nmole/L,36.1376
B8,212,2,1191,100.0,49.222,35.6201,557,928,35.6201,49.222 nmole/L,36.1376
B8,212,3,6000,,0.033,0.1211,880,6022,35.6201,49.222 nmole/L,36.1376
B9,211,1,1,,165.013,0.1263,1413,1,27.0985,30.201 nmole/L,27.6042
B9,211,2,1477,100.0,30.201,27.0985,853,1488,27.0985,30.201 nmole/L,27.6042
B9,211,3,6000,,0.042,0.1524,1576,6049,27.0985,30.201 nmole/L,27.6042
B10,210,1,1,,165.013,0.1263,1233,1,26.7955,36.891 nmole/L,26.7955
B10,210,2,1196,100.0,36.891,26.7955,484,910,26.7955,36.891 nmole/L,26.7955
B10,210,3,6000,,0.034,0.1251,1148,6067,26.7955,36.891 nmole/L,26.7955
B11,209,1,1,,165.013,0.1263,817,1,42.9456,51.324 nmole/L,43.6624
B11,209,2,1377,100.0,51.324,42.9456,625,1100,42.9456,51.324 nmole/L,43.6624
B11,209,3,6000,,0.056,0.2049,929,6282,42.9456,51.324 nmole/L,43.6624
B12,Ladder,1,1,,165.013,0.1263,789,1,22.9325,75.394 nmole/L,24.9960
B12,Ladder,2,100,5.1,19.309,1.1759,750,99,22.9325,75.394 nmole/L,24.9960
B12,Ladder,3,200,5.4,10.216,1.2426,905,200,22.9325,75.394 nmole/L,24.9960
B12,Ladder,4,300,5.4,6.779,1.2363,950,300,22.9325,75.394 nmole/L,24.9960
B12,Ladder,5,400,5.6,5.261,1.2790,982,400,22.9325,75.394 nmole/L,24.9960
B12,Ladder,6,500,14.6,11.035,3.3529,2543,500,22.9325,75.394 nmole/L,24.9960
B12,Ladder,7,600,5.4,3.389,1.2358,855,600,22.9325,75.394 nmole/L,24.9960
B12,Ladder,8,700,5.1,2.735,1.1632,825,700,22.9325,75.394 nmole/L,24.9960
B12,Ladder,9,800,5.6,2.624,1.2755,824,797,22.9325,75.394 nmole/L,24.9960
B12,Ladder,10,900,5.5,2.317,1.2668,823,898,22.9325,75.394 nmole/L,24.9960
B12,Ladder,11,1000,14.7,5.555,3.3750,2324,1000,22.9325,75.394 nmole/L,24.9960
B12,Ladder,12,1200,7.2,2.270,1.6551,867,1214,22.9325,75.394 nmole/L,24.9960
B12,Ladder,13,1500,7.0,1.762,1.6054,831,1534,22.9325,75.394 nmole/L,24.9960
B12,Ladder,14,2000,7.3,1.378,1.6741,748,2117,22.9325,75.394 nmole/L,24.9960
B12,Ladder,15,3000,6.1,0.766,1.3951,706,3117,22.9325,75.394 nmole/L,24.9960
B12,Ladder,16,6000,,0.034,0.1255,768,6068,22.9325,75.394 nmole/L,24.9960
